wavelength,absorption cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
785,-1.88122554381692E-27,-2.65623713969919E-27,-2.43698017584969E-27,-2.6603512922142E-27,-2.60980829301227E-27,-3.02289655657396E-27,-3.21547748535877E-27,-2.96352368417137E-27,-2.28932266616102E-27,-2.65412895619666E-27,-2.38165519595723E-27,-2.24343339079363E-27,-2.22846207341084E-27,-2.90599334631741E-27,-2.99676822064629E-27,-2.25338620108755E-27,-2.18271217399746E-27,-2.48831795832153E-27,-2.22322543398988E-27,-1.77593568087279E-27,-2.43210261832685E-27,-2.01787030866733E-27,-2.29081832040092E-27,-2.46565012630015E-27,-2.52168570999716E-27,-2.34578145577271E-27,-2.59433487465342E-27,-2.17055196977968E-27,-2.32809164415092E-27,-2.40550323929552E-27,-1.98661843020714E-27,-1.76231842353638E-27,-1.77217688097247E-27,-1.40062375640066E-27
785.1,-2.40440125363961E-27,-2.8669943668137E-27,-2.38026596011374E-27,-2.85891299022897E-27,-2.80029570470511E-27,-2.71584543315848E-27,-2.89188433505556E-27,-2.65484776173511E-27,-2.47446701475733E-27,-2.83253700074484E-27,-2.06968706615982E-27,-1.9323666018175E-27,-2.17061121741432E-27,-3.09421750247641E-27,-2.93632825446444E-27,-1.945109339042E-27,-2.38346305904681E-27,-2.43322290350677E-27,-2.17119173000166E-27,-1.99235988148909E-27,-2.37924911967681E-27,-1.96363432464816E-27,-2.23478412265378E-27,-2.41075597886862E-27,-2.72465150462309E-27,-2.03717996340244E-27,-2.28856814335291E-27,-2.37623956272358E-27,-2.00686642862E-27,-2.08484625646214E-27,-1.93026086362391E-27,-1.98458502376557E-27,-1.70842272953444E-27,-1.34107977607692E-27
785.2,-1.83432938534158E-27,-2.58891201238627E-27,-2.1025752008761E-27,-2.57812758101557E-27,-2.51842426429467E-27,-2.43385027470388E-27,-2.34717402644948E-27,-2.87286571538641E-27,-2.43850636104747E-27,-2.30569717445575E-27,-2.03659103380647E-27,-1.90657740173603E-27,-1.89178233968379E-27,-2.56863129498691E-27,-3.1621157840661E-27,-2.1686735852271E-27,-2.10387924919002E-27,-2.41594554642175E-27,-2.1705055005776E-27,-1.98765352703003E-27,-2.10541889394683E-27,-1.68842085558083E-27,-2.22978678808767E-27,-2.38181474136188E-27,-2.4526974749107E-27,-2.2771213666722E-27,-2.01481677782026E-27,-2.10342011164311E-27,-1.7286488507819E-27,-2.07863257931288E-27,-1.6529260343004E-27,-1.98571046752096E-27,-1.42369284469889E-27,-1.35670421537359E-27
785.3,-2.06665382828861E-27,-2.79954234102871E-27,-2.3081180973604E-27,-2.51834577894101E-27,-2.45755612854696E-27,-2.61889072269053E-27,-2.79970905664496E-27,-2.56434657118468E-27,-2.37649069080844E-27,-2.48413416479996E-27,-2.47402728481854E-27,-1.8486621483724E-27,-1.83395508128124E-27,-2.75687952128648E-27,-3.10170324587322E-27,-2.11140835000385E-27,-2.04530111583003E-27,-2.36087695809933E-27,-2.11849630402442E-27,-1.933181685767E-27,-2.05259158223501E-27,-1.63420954249212E-27,-2.17378101193191E-27,-2.57374768905151E-27,-2.14780326164143E-27,-2.22509770914506E-27,-2.21506041906186E-27,-2.30899098466733E-27,-1.93541855214829E-27,-2.02570985105218E-27,-1.5965935833833E-27,-1.65103128107514E-27,-1.63902588214844E-27,-1.29718463578491E-27
785.4,-1.74520371226695E-27,-3.03764137701475E-27,-2.27905134496413E-27,-2.22781432267903E-27,-2.42430910895622E-27,-2.83142438252004E-27,-2.76241826142135E-27,-2.78172045512105E-27,-2.34209631555202E-27,-2.69006962732265E-27,-2.68915999304637E-27,-2.07135906537869E-27,-2.06655941486941E-27,-2.72633112522085E-27,-3.06891205397156E-27,-2.08176497119183E-27,-2.01434647081509E-27,-2.33342923480963E-27,-1.82178195124224E-27,-2.17694626139405E-27,-1.75830652038505E-27,-2.14623384679927E-27,-2.14539707868294E-27,-2.54649999453803E-27,-2.37841105173015E-27,-2.20069408273105E-27,-2.18993157500868E-27,-2.54204135708388E-27,-1.90582705778847E-27,-2.00040654843494E-27,-1.84433611043899E-27,-1.62237538120791E-27,-1.32386261204586E-27,-1.56124601026394E-27
785.5,-2.00515203965956E-27,-2.4729148063797E-27,-2.2499898228156E-27,-2.71226106166388E-27,-2.39106752695683E-27,-2.7980582996115E-27,-2.46648024760588E-27,-2.25155937374552E-27,-2.06064905688704E-27,-2.65399888949715E-27,-2.15557701811304E-27,-2.04106717070246E-27,-2.03635533814092E-27,-2.69578671689406E-27,-3.03612652982164E-27,-2.3028454281781E-27,-2.24261852200643E-27,-2.30598669767277E-27,-1.79739684570065E-27,-1.87948732579415E-27,-2.27110926163005E-27,-2.11964678858405E-27,-1.84500683657616E-27,-2.27245597888248E-27,-2.35508078969445E-27,-2.17629480829417E-27,-2.16480721809164E-27,-2.00320781610032E-27,-1.87624183232199E-27,-1.70739632636381E-27,-1.81562835960939E-27,-1.8721270889197E-27,-1.56682341159317E-27,-1.23338929413437E-27
785.6,-1.69833895933692E-27,-2.43510492161791E-27,-1.9448651909251E-27,-2.14581350915315E-27,-2.33301230463873E-27,-2.242724134162E-27,-2.67029784656327E-27,-2.44214186114173E-27,-1.75019757499926E-27,-2.34186623980016E-27,-2.09478273800828E-27,-1.2285903630559E-27,-1.73008667251157E-27,-2.14276166706323E-27,-2.98067674730508E-27,-1.99714606520604E-27,-1.93561115786064E-27,-2.51964605669332E-27,-2.041441314518E-27,-1.84719553813988E-27,-1.96984442698208E-27,-1.81699567801531E-27,-1.8125793650606E-27,-1.96914973057234E-27,-2.05568559375539E-27,-1.61941729994374E-27,-1.86361900803349E-27,-1.96033657478794E-27,-1.57059453597652E-27,-1.67374284213836E-27,-1.51085677921318E-27,-1.01044096740509E-27,-1.2546628997047E-27,-9.25429513104014E-28
785.7,-1.95811731714772E-27,-2.67321640805046E-27,-2.17789969148331E-27,-2.37190065942777E-27,-2.29978160174552E-27,-2.45527332753001E-27,-2.6330245815079E-27,-2.41039398527043E-27,-1.71582005349378E-27,-2.30580836203121E-27,-2.06040058904488E-27,-1.70442656324019E-27,-1.43707793930693E-27,-2.35864152598757E-27,-2.69450414904735E-27,-1.96752122365832E-27,-1.90467994823385E-27,-2.23370190513857E-27,-2.01706462296979E-27,-1.54974858252759E-27,-1.94465298123217E-27,-1.79041719802152E-27,-1.78421392816664E-27,-2.43539070501252E-27,-2.03236214659566E-27,-1.85144097723712E-27,-1.83850362774139E-27,-2.19339749586074E-27,-1.80485805233526E-27,-1.38074011496832E-27,-1.48215805229787E-27,-1.5387681466463E-27,-9.39517760093895E-28,-8.93542228350041E-28
785.8,-1.66446139503154E-27,-2.93878069549119E-27,-2.17645346597726E-27,-2.36736284370359E-27,-2.04290667799379E-27,-2.44952238140648E-27,-2.10619171245769E-27,-2.40625054407965E-27,-1.70904775218285E-27,-2.05534388841423E-27,-2.30315273682216E-27,-1.70174579270592E-27,-1.95996340166708E-27,-2.35570868573542E-27,-2.68933523562063E-27,-1.71478450523353E-27,-1.90135615319681E-27,-2.23387453188714E-27,-2.02029173895923E-27,-2.09159705096877E-27,-1.94706618366511E-27,-1.7914426078164E-27,-1.78345425861239E-27,-2.68230665224214E-27,-2.29044718653805E-27,-2.11092996841644E-27,-1.84099233640817E-27,-1.68217410480825E-27,-1.01094164737462E-27,-1.6507620675199E-27,-1.48106343819744E-27,-1.53772880751316E-27,-1.21009629437315E-27,-1.18521982119323E-27
