wavelength,emission cross-section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2,m^2
,77 K,100 K,110 K,120 K,130 K,140 K,150 K,160 K,170 K,180 K,190 K,200 K,210 K,220 K,230 K,240 K,250 K,260 K,270 K,280 K,290 K,300 K,310 K,320 K,330 K,340 K,350 K,360 K,370 K,380 K,390 K,400 K,410 K,420 K
850,-1.74752614766826E-28,-7.17361513530158E-28,1.86335987912171E-27,-3.10453997464504E-27,-1.7873685212279E-27,-2.85612988472277E-27,-5.34406819861769E-28,-7.79134578088264E-27,-6.2786421014818E-28,2.13655584337688E-27,-4.60289830033536E-28,3.17174886814842E-27,-2.76154982596641E-26,-1.36110100215194E-27,-1.84371835234895E-27,1.70238006551263E-29,-2.64292584415802E-28,-1.21193786617371E-27,8.92585717368649E-27,1.32335211873819E-27,2.51533733090479E-27,-8.72173214680939E-29,-1.91812869282096E-27,-4.03680933426107E-27,-1.01128822572114E-27,-6.59737602598275E-28,5.61776778103326E-27,-1.45967021554127E-27,-5.7348391992721E-27,-8.82443900825186E-28,5.63254285213949E-27,-8.13820294635677E-27,-3.69228604384766E-27,-2.87061986397831E-26
850.1,-1.26361379545349E-27,2.39385483745155E-27,-8.63942881209858E-28,1.17011053810964E-27,-2.38873628198418E-27,-2.27020815458511E-27,1.37743704223014E-27,7.15720189375841E-28,2.63484666355349E-27,2.05308536873538E-28,-3.22541537296907E-27,-5.50199214124535E-29,-3.85357119113878E-28,1.98977424710964E-27,5.38167404577661E-27,2.43261403266824E-27,-1.35752399023435E-27,1.63615799340444E-28,1.00848860139821E-27,1.5392727684448E-27,-2.02738364717039E-27,1.19040314605193E-30,5.47973233921502E-30,1.9961783668235E-27,1.09110023712054E-27,7.42142506335896E-27,-1.192520359382E-27,2.18560492142224E-27,-1.41727019232323E-27,-3.02420654202256E-27,1.23156992505014E-27,3.02162333336838E-27,3.12285522058406E-27,6.76573755248661E-27
850.2,1.18491554498556E-27,-4.5499317672873E-28,-4.8100174576288E-28,-1.82227960032599E-28,3.11695905118278E-27,-2.18305311333169E-28,1.69948674195411E-27,2.26554880988143E-27,-3.22089275838518E-27,-1.56900346368725E-27,-1.44563355622561E-27,-8.05181302504849E-28,4.7097451885057E-27,2.58956523146543E-27,1.33154761338748E-27,-1.40984865404939E-27,-2.24130850504552E-27,-3.81303552774062E-27,3.7735223743248E-27,-2.8586376186108E-27,-7.23456185966197E-28,1.98644200690107E-28,2.73455194083438E-27,-7.95325640276848E-27,3.5425856440495E-27,1.47851188276694E-27,4.22329659979615E-27,-3.27151966438611E-27,4.11593070132053E-27,-1.50868543231884E-27,-4.1117185194927E-27,1.62107906381296E-27,5.22142404490043E-27,5.47222519055256E-27
850.3,1.41289857966094E-27,-3.77331217875523E-28,1.46317005420536E-27,2.7919140119794E-27,-1.65169919318237E-27,3.39383347005302E-27,-1.74567031872996E-27,-5.76676302698569E-28,2.00698855143505E-27,6.12226324754872E-28,2.12724645841968E-28,-2.32984074078067E-27,6.07749446955562E-27,1.36994599649953E-27,-6.2333678217199E-28,-5.28472473412937E-28,-6.34942705254212E-28,-9.0386277058338E-28,-4.2774840642502E-27,2.4911548840185E-27,-2.00117562410015E-27,2.66550139263973E-27,-2.359605119114E-27,2.57204618349475E-27,2.12311820256018E-27,1.93357657468339E-27,-6.45989266729401E-27,5.8660096271033E-27,-4.05340987659998E-27,-2.36512188755029E-27,-6.06784800070433E-27,3.32011608678649E-27,6.00404026119101E-28,2.77117351979793E-27
850.4,-1.1904319777638E-27,2.80172047969461E-27,-1.25039765671827E-28,-1.10300969993322E-27,3.53521152461295E-27,-1.50271034421531E-27,2.75874000571364E-28,1.33476010772154E-27,-1.07603802267114E-27,1.12905084034385E-27,-9.00773427205144E-28,-3.73005803603947E-28,2.6370373815112E-28,-2.10891947936643E-27,-6.95411965257827E-28,-3.24065175195453E-27,-8.8004487133926E-29,-1.63611610491956E-28,-4.6115843021773E-27,2.59327914198098E-27,-8.34604672445573E-28,2.12546626864542E-27,3.12487674168396E-27,-6.57294081323749E-28,-4.76657001751514E-27,4.71663264272096E-27,1.58954523304067E-27,5.96080312594625E-27,2.43730264690199E-27,5.51855274051862E-27,-2.25591439318237E-27,1.53270674409409E-27,4.53204307909116E-27,3.26023131253207E-27
850.5,-9.08262799777141E-29,-1.4088505179391E-27,1.29711178388914E-28,-2.53627744443294E-28,-4.09048856817033E-27,1.3562719499766E-27,-7.47474275647276E-28,-1.56334037281302E-28,-2.68233253705894E-27,-2.09558279540247E-27,6.4084297879995E-28,-3.04221245237321E-27,-2.50529280133071E-28,-9.7907078433848E-28,-1.1861237387517E-27,9.34114030460526E-28,1.09494603427979E-27,3.06758896887075E-27,9.64842965837401E-28,7.34268751475927E-28,-1.62461477021322E-27,-4.36474464580196E-27,1.7482304087141E-27,-3.84921842383127E-29,3.10456206712176E-27,-3.76675964918379E-27,1.88982966250398E-27,-2.71356663959826E-27,2.45201237146821E-27,-4.05920720282297E-27,1.1653144033056E-27,2.57104938340472E-27,5.41800476750905E-27,-4.52119960557477E-27
850.6,7.93468588529798E-28,-2.10484234631698E-27,-6.13019787542152E-28,-6.17277891824031E-28,-1.1926537574435E-27,-1.50876306594488E-27,-2.6070691481478E-27,-2.99924194959616E-28,-1.11138041402863E-28,7.40956353206141E-28,-3.97948859757857E-28,7.98245290971559E-28,4.51697774376129E-27,-1.86039167218332E-27,-8.29482745917296E-28,8.4468624579253E-28,-9.03532955964653E-28,2.15648527892303E-27,-2.93431255361251E-27,-4.53492849263544E-27,1.31178572754377E-27,4.75260719256362E-27,-2.44810219280271E-27,1.28269223715728E-27,1.77773158974845E-27,-1.62678484457623E-27,-9.7639313715356E-28,5.08446467891072E-27,-4.61833980124709E-27,-8.20242998268511E-28,2.2087338403436E-27,2.36105633839356E-27,-2.70959187290491E-27,2.57351931082751E-28
850.7,-2.86369124081186E-28,-2.01750455863457E-27,-2.66222295128149E-27,1.30573242180612E-27,3.0450887935987E-27,5.28284921800425E-27,-6.73431701573737E-28,3.08560420164687E-27,4.83052161657265E-28,3.48434770318939E-28,4.15131367021879E-28,4.38623944554535E-28,2.70532500693924E-27,4.33485503835343E-28,3.41696728641392E-27,8.78334652913564E-28,-8.58794874210187E-28,-1.5709774150347E-27,-2.5773223816718E-27,-1.37215477317875E-27,3.11644277926959E-27,-3.28566786942776E-27,1.67661399634354E-28,1.70070628859396E-28,-2.45027327985826E-27,-4.87603593277886E-27,-4.08596644738884E-27,-6.20043076662037E-27,4.91379738104103E-27,7.22645488841501E-30,-3.64565650707655E-27,-3.00899207426134E-27,8.07951995845912E-28,3.76979026520422E-27
850.8,1.27791065749661E-27,-1.43647697010772E-27,8.25019403153364E-28,-7.55728496296297E-28,2.29230462717364E-27,-1.98705244186703E-27,2.4882457679424E-27,1.1436853202374E-28,2.97734180687203E-28,-1.37421500770839E-28,1.45279727835539E-27,2.0553085926531E-27,3.58159588634537E-27,2.77037066704721E-27,-2.76456649014767E-27,9.89682411860552E-28,7.43311925849289E-29,2.11700669214123E-27,-1.62716112782425E-27,-1.77167605878691E-27,2.28367510650875E-27,-1.13639630709359E-27,-9.3995469749165E-28,1.89266648263148E-27,-8.18789196650993E-28,-1.13029986526129E-27,2.04888531657448E-27,-7.65080822141462E-28,-3.38494067926711E-27,3.22326458659677E-27,2.87938415251465E-27,-2.36037206839519E-28,-5.55303051013238E-27,1.99522733296246E-27
